name,number,status
PEP Purpose and Guidelines,1,Active
Python Database API Specification v2.0,249,Final
Python Database API Specification v1.0,248,Final
API for Block Encryption Algorithms v1.0,272,Final
Docstring Conventions,257,Active
Backward Compatibility for the Python 2 Standard Library,291,Final
Code Migration and Modernization,290,Active
reStructuredText Docstring Format,287,Active
Python Web Server Gateway Interface v1.0,333,Final
The “python” Command on Unix-Like Systems,394,Active
API for Cryptographic Hash Functions,247,Final
Doing Python Releases 101,101,Active
The Zen of Python,20,Active
C API Working Group Charter,731,Active
Typing governance process,729,Active
PEP Infrastructure Process,676,Active
An Evaluation of Python’s Public C API,733,Draft
Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,600,Final
Standard image protocol and class,368,Deferred
Logging Usage in the Standard Library,337,Deferred
Copyable Iterators,323,Deferred
Doing Python Micro Releases,102,Superseded
Programming by Contract for Python,316,Deferred
Feature Requests,42,Withdrawn
Sample Plaintext PEP Template,9,Withdrawn
Guidelines for Handling Bug Reports,3,Withdrawn
Static metadata for Distutils,390,Rejected
Changing the version comparison module in Distutils,386,Superseded
Namespace Packages,382,Rejected
Support for indexing with keyword arguments,472,Rejected
Mirroring infrastructure for PyPI,381,Withdrawn
Migration of dict iteration code to Python 3,469,Withdrawn
Exception-catching expressions,463,Rejected
Core development workflow automation for CPython,462,Withdrawn
The manylinux2010 Platform Tag,571,Superseded
Built-in noop(),559,Rejected
Security transparency in the Python runtime,551,Withdrawn
Context-local variables (contextvars),555,Withdrawn
Execution Context,550,Withdrawn
Instance Descriptors,549,Rejected
More Flexible Loop Control,548,Rejected
Multiple Interpreters in the Stdlib,554,Superseded
Dependency specification for single-file scripts,722,Rejected
Callable Modules,713,Rejected
A simplified signature for __exit__ and __aexit__,707,Rejected
Require virtual environments by default for package installers,704,Withdrawn
Lazy Imports,690,Rejected
Callable Type Syntax,677,Rejected
Reject Foolish Indentation,666,Rejected
Organization of the Python community,8015,Rejected
The Commons Governance Model,8014,Rejected
The External Council Governance Model,8013,Rejected
A file format to list Python dependencies for reproducibility of an application,665,Rejected
The Community Governance Model,8012,Rejected
Python Governance Model Lead by Trio of Pythonistas,8011,Rejected
Asynchronous IO support,3153,Superseded
The Technical Leader Governance Model,8010,Rejected
Cofunctions,3152,Rejected
Merging Unladen Swallow into CPython,3146,Withdrawn
Asynchronous I/O For subprocess.Popen,3145,Withdrawn
Add a “while” clause to generator expressions,3142,Rejected
"str(container) should call str(item), not repr(item)",3140,Rejected
Labeled break and continue,3136,Rejected
Cleaning out sys and the “interpreter” module,3139,Rejected
Introducing Roles,3133,Rejected
Access to Current Module/Class/Function,3130,Rejected
BList: A Faster List-like Type,3128,Rejected
Remove Backslash Continuation,3125,Rejected
Remove Implicit String Concatenation,3126,Rejected
Delineation of the main module,3122,Rejected
A Switch/Case Statement,3103,Rejected
Postfix type declarations,3117,Rejected
Procedure for reviewing and improving standard library modules,3001,Withdrawn
IEEE 754 Floating Point Special Values,754,Rejected
"Standardizing Enum str(), repr(), and format() behaviors",663,Rejected
Editable installs via virtual wheels,662,Rejected
Robust Stack Overflow Handling,651,Rejected
